Please ONLY fill out this survey if you are a current freshman.,Blocking group size,Adams,Cabot,Currier,Dunster,Eliot,Kirkland,Leverett,Lowell,Mather,Pfoho,Quincy,Winthrop,Gender:,Ethnicity,Dorm:,Anticipated Concentration (select all that apply),Are you an athlete?
I am currently a freshman at Harvard.,4,10,12,9,1,5,4,7,2,8,11,6,3,Female,Asian,Weld,    Social Studies,No
I am currently a freshman at Harvard.,3,1,2,6,10,7,8,11,5,12,3,9,4,Female,White,Wigglesworth,"Computer Science,Earth and Planetary Sciences",No
I am currently a freshman at Harvard.,8,8,11,9,4,6,3,12,1,2,10,7,5,Male,White,Weld,"    Religion, Comparative Study of",No
I am currently a freshman at Harvard.,7,4,11,8,7,10,12,5,3,1,9,6,2,Female,Asian,Wigglesworth,Computer Science,No
I am currently a freshman at Harvard.,7,9,6,7,10,5,11,8,1,2,4,3,12,Male,White,Wigglesworth,"    Molecular and Cellular Biology,    Statistics",No
I am currently a freshman at Harvard.,8,9,12,11,7,6,5,4,1,8,10,2,3,Female,White,Wigglesworth,Uncertain,Yes
I am currently a freshman at Harvard.,6,3,12,10,7,4,6,9,2,8,11,1,5,Female,White,Canaday,Astrophysics,No
I am currently a freshman at Harvard.,8,7,12,11,1,8,9,6,2,5,10,4,3,Female,White,Canaday,    Integrative Biology,No
I am currently a freshman at Harvard.,7,3,8,10,4,7,12,5,2,9,11,6,1,Female,Asian,Mass Hall,"Computer Science,    Physics",No
I am currently a freshman at Harvard.,2,4,9,8,1,11,12,6,2,5,10,7,3,Female,White,Mass Hall,"    Philosophy,    Religion, Comparative Study of,    Social Studies",No
I am currently a freshman at Harvard.,2,8,11,12,3,7,9,5,1,6,10,4,2,Female,White,Mass Hall,    Psychology,No
I am currently a freshman at Harvard.,7,6,10,9,2,11,12,3,4,1,7,5,8,Female,Black or African American,Lionel,    Social Studies,No
I am currently a freshman at Harvard.,7,4,11,12,6,3,7,5,1,9,10,8,2,Male,Black or African American,Wigglesworth,Government,Yes
I am currently a freshman at Harvard.,5,6,11,12,7,4,8,5,2,9,10,3,1,Male,Asian,Greenough,Computer Science,No
I am currently a freshman at Harvard.,2,5,8,4,6,11,12,10,3,1,7,9,2,Male,Asian,Wigglesworth,    Mathematics,No
I am currently a freshman at Harvard.,6,3,12,11,6,5,7,4,1,10,9,8,2,Male,White,Matthews,Computer Science,No
I am currently a freshman at Harvard.,8,7,12,6,5,3,9,8,2,4,11,10,1,Female,Asian,Canaday,English,No
I am currently a freshman at Harvard.,8,3,10,12,5,4,9,8,2,6,11,7,1,Female,"White,Hispanic or Latino",Canaday,    Physics,No
I am currently a freshman at Harvard.,8,6,12,10,3,4,8,9,2,7,11,5,1,Male,Asian,Wigglesworth,    Molecular and Cellular Biology,No
I am currently a freshman at Harvard.,5,7,11,12,5,9,8,2,6,3,10,1,4,Female,White,Straus,    Statistics,No
I am currently a freshman at Harvard.,5,2,5,12,4,3,8,9,1,10,11,7,6,Male,White,Thayer,    Social Studies,No
I am currently a freshman at Harvard.,7,11,12,2,7,1,6,3,10,8,5,9,4,Female,"White,Asian",Matthews,"Applied Mathematics,Computer Science",No
I am currently a freshman at Harvard.,5,4,10,11,3,9,8,5,2,7,12,6,1,Female,White,Thayer,Government,Yes
I am currently a freshman at Harvard.,7,5,11,2,7,3,8,6,1,12,10,4,9,Female,White,Canaday,Uncertain,No
